District,Season,Soil_Type,Soil_N_kg_ha,Soil_P_kg_ha,Soil_K_kg_ha,Soil_pH,Organic_Carbon_pct,Avg_Temperature_C,Rainfall_mm,Humidity_pct,Primary_Crop
Sri Satya Sai,Rabi,Laterite,49.4,35.1,41.9,7.4,0.34,28.5,452.1,74.0,Pearl Millet
Kadapa,Rabi,Laterite,188.6,103.6,139.1,5.7,0.63,32.7,533.1,89.5,Turmeric
Annamayya,Rabi,Coastal Sands,179.2,98.7,131.1,8.2,1.01,28.2,177.0,71.2,Chillies
Prakasam,Zaid,Red,250.6,135.3,180.3,8.0,0.94,28.9,305.5,73.9,Coconut
Konaseema,Zaid,Alluvial,49.5,34.2,41.1,8.2,0.92,32.5,1180.2,73.7,Pearl Millet
Guntur,Kharif,Alluvial,60.2,40.1,48.4,8.1,0.71,21.9,320.0,70.5,Finger Millet
Kurnool,Zaid,Red,248.9,136.2,180.7,6.6,0.92,33.5,189.4,59.0,Coconut
Bapatla,Zaid,Red,61.0,40.1,48.2,7.1,0.78,28.7,55.1,43.6,Finger Millet
Nandyal,Kharif,Red,159.3,90.8,119.4,7.4,0.35,30.6,636.8,80.6,Sugarcane
NTR,Rabi,Coastal Sands,211.7,115.6,153.9,8.2,0.63,29.6,1137.1,51.9,Mango
Visakhapatnam,Kharif,Coastal Sands,159.9,90.1,118.0,7.8,0.34,32.2,1140.7,65.3,Sugarcane
Eluru,Rabi,Alluvial,91.0,55.6,68.0,7.2,0.79,34.1,923.6,74.9,Green Gram
Nandyal,Rabi,Black,249.3,135.1,181.9,8.1,0.63,27.0,1114.2,63.1,Coconut
Vizianagaram,Kharif,Red,90.5,56.1,69.0,6.6,1.05,22.2,242.7,64.2,Green Gram
Konaseema,Kharif,Alluvial,49.7,33.9,41.0,7.0,0.33,25.9,1195.1,45.9,Pearl Millet
East Godavari,Zaid,Coastal Sands,21.4,20.1,20.6,8.0,0.55,31.8,147.0,56.5,Paddy
Alluri Sitharama Raju,Zaid,Alluvial,50.5,33.7,41.9,7.8,1.07,23.5,247.2,60.7,Pearl Millet
Sri Satya Sai,Zaid,Coastal Sands,182.0,99.7,131.2,7.8,0.39,31.1,490.0,68.5,Chillies
Palnadu,Kharif,Black,120.6,69.1,89.8,5.6,0.58,24.0,436.4,85.2,Sesame
Eluru,Kharif,Laterite,59.4,40.4,48.1,6.4,0.77,34.4,967.1,61.7,Finger Millet
West Godavari,Rabi,Black,99.7,58.8,74.8,5.7,0.81,24.0,460.5,50.6,Black Gram
Palnadu,Kharif,Black,100.0,58.1,73.8,6.5,0.54,31.5,688.3,53.8,Black Gram
Kurnool,Kharif,Alluvial,189.7,105.0,140.0,6.4,0.38,31.1,249.2,66.2,Turmeric
Parvathipuram Manyam,Kharif,Alluvial,250.0,135.4,180.4,6.2,0.82,34.6,486.7,57.5,Coconut
Kurnool,Kharif,Red,218.6,119.0,160.7,6.7,0.47,22.8,1185.6,81.0,Papaya
Bapatla,Kharif,Red,251.0,134.1,179.4,7.9,1.17,31.3,999.9,63.2,Coconut
Visakhapatnam,Kharif,Red,201.4,110.3,146.1,5.6,0.96,21.5,813.6,72.7,Banana
Kakinada,Rabi,Black,238.2,128.9,173.8,8.1,1.18,21.6,773.5,69.1,Cashew
Konaseema,Rabi,Red,59.0,39.7,48.4,6.6,0.94,21.7,258.8,54.5,Finger Millet
Vizianagaram,Zaid,Red,151.3,85.2,109.9,7.7,1.09,23.0,1013.0,72.3,Cotton
Vizianagaram,Rabi,Coastal Sands,111.9,66.5,83.7,6.5,0.79,25.4,455.2,87.2,Groundnut
Kakinada,Zaid,Alluvial,160.1,88.1,117.9,6.5,0.47,24.6,467.5,83.3,Sugarcane
Anakapalli,Rabi,Laterite,52.2,34.7,41.0,7.7,0.91,25.3,1040.9,85.6,Pearl Millet
Kurnool,Rabi,Red,20.9,20.8,18.7,6.5,0.49,28.6,394.5,62.3,Paddy
Nellore,Kharif,Red,249.9,133.2,182.2,6.7,1.17,20.8,427.6,44.9,Coconut
Srikakulam,Rabi,Black,140.7,80.0,104.4,7.8,1.17,29.0,209.8,48.7,Bengal Gram
Guntur,Kharif,Coastal Sands,189.8,104.6,136.2,5.7,0.84,24.4,289.6,86.0,Turmeric
Konaseema,Kharif,Laterite,120.0,69.9,89.1,7.3,0.68,22.5,727.3,44.5,Sesame
Srikakulam,Zaid,Laterite,89.6,55.9,69.8,6.3,0.66,32.4,558.7,56.2,Green Gram
Annamayya,Rabi,Black,90.8,53.2,69.3,6.9,0.68,26.6,690.4,48.5,Green Gram
Vizianagaram,Zaid,Alluvial,260.4,141.6,187.3,7.8,0.55,31.4,852.8,72.0,Vegetables
Palnadu,Kharif,Alluvial,78.5,48.6,63.3,8.3,0.71,32.3,50.2,83.7,Red Gram
Anantapur,Zaid,Red,148.5,86.0,111.5,5.6,0.83,25.0,704.5,74.6,Cotton
East Godavari,Rabi,Laterite,209.4,117.0,155.6,7.5,0.76,27.4,723.3,56.3,Mango
Sri Satya Sai,Kharif,Alluvial,21.2,18.3,20.1,6.6,1.0,33.1,891.3,55.3,Paddy
Kakinada,Rabi,Coastal Sands,139.4,79.9,103.9,7.5,0.39,23.5,714.9,79.8,Castor
Visakhapatnam,Kharif,Laterite,159.8,90.1,118.7,7.5,0.91,31.7,322.1,64.9,Sugarcane
NTR,Rabi,Red,80.6,50.4,64.0,7.6,0.72,22.4,1001.8,56.8,Red Gram
Parvathipuram Manyam,Kharif,Coastal Sands,219.2,119.3,160.2,8.2,0.3,26.5,113.9,66.4,Tobacco
Srikakulam,Kharif,Alluvial,90.5,55.1,68.5,6.0,0.95,22.2,567.9,67.6,Green Gram
Prakasam,Rabi,Red,249.9,135.6,180.6,6.0,0.4,20.0,215.5,75.0,Coconut
Eluru,Zaid,Coastal Sands,199.6,109.9,144.9,7.6,0.7,31.6,125.9,73.0,Banana
Nellore,Rabi,Laterite,209.4,116.0,152.6,7.7,0.45,30.9,628.3,66.4,Mango
Krishna,Rabi,Red,248.2,135.9,181.2,7.1,0.83,34.3,311.0,70.5,Coconut
Eluru,Kharif,Red,79.9,49.1,62.2,7.6,0.38,22.6,437.3,86.0,Red Gram
Nellore,Zaid,Red,180.1,102.0,132.2,8.2,0.67,28.6,817.0,68.4,Chillies
Chittoor,Zaid,Laterite,180.3,100.6,132.5,8.2,0.31,22.4,236.1,64.0,Chillies
West Godavari,Zaid,Red,119.9,70.0,92.1,8.4,0.65,34.3,165.7,76.1,Sesame
Annamayya,Rabi,Black,29.2,23.0,27.9,7.0,0.96,20.8,309.4,41.0,Maize
East Godavari,Rabi,Alluvial,249.1,134.7,180.2,8.4,0.61,21.4,1118.1,56.8,Coconut
Anantapur,Zaid,Black,71.6,43.3,56.1,8.0,0.93,21.3,533.8,85.4,Bengal Gram
Konaseema,Zaid,Alluvial,159.6,89.9,118.7,6.5,0.54,22.5,598.4,61.6,Sugarcane
West Godavari,Zaid,Laterite,230.0,125.3,165.8,6.0,0.81,22.1,781.2,85.4,Oil Palm
Chittoor,Zaid,Coastal Sands,240.6,128.2,175.2,7.6,0.91,28.3,823.9,54.3,Cashew
Alluri Sitharama Raju,Zaid,Coastal Sands,171.2,93.9,126.1,6.1,0.39,29.3,1143.4,59.7,Tobacco
Tirupati,Zaid,Red,180.3,100.8,133.4,6.0,0.31,23.3,224.1,80.9,Chillies
Annamayya,Kharif,Red,40.6,29.9,35.0,6.7,0.31,25.1,582.8,85.2,Sorghum
Alluri Sitharama Raju,Rabi,Black,170.3,94.8,126.0,6.2,0.88,21.3,192.3,56.3,Tobacco
Nandyal,Zaid,Alluvial,229.7,124.2,167.1,6.6,1.12,28.9,881.7,80.1,Oil Palm
Visakhapatnam,Rabi,Coastal Sands,140.3,80.6,103.2,7.0,0.98,30.7,184.0,60.0,Castor
Sri Satya Sai,Zaid,Laterite,150.1,84.1,109.7,5.8,0.66,20.6,1125.3,84.3,Cotton
Sri Satya Sai,Zaid,Coastal Sands,258.9,138.2,189.6,6.4,1.11,26.5,170.7,65.7,Vegetables
Vizianagaram,Kharif,Coastal Sands,219.8,118.9,159.7,6.4,0.42,31.8,190.9,46.4,Papaya
Nellore,Kharif,Laterite,238.0,131.0,173.1,5.8,0.44,27.9,1126.9,50.8,Cashew
East Godavari,Zaid,Red,171.0,93.7,124.8,5.8,0.5,28.8,782.0,57.8,Tobacco
Srikakulam,Kharif,Laterite,30.5,25.4,26.6,7.7,1.18,33.2,656.9,86.3,Maize
Kakinada,Zaid,Black,71.4,45.7,55.1,5.6,0.73,27.4,1167.2,49.2,Bengal Gram
Palnadu,Kharif,Coastal Sands,121.5,69.8,91.2,6.5,1.02,20.0,835.8,81.0,Sesame
Visakhapatnam,Rabi,Red,139.4,80.8,104.8,5.8,0.89,22.8,1059.5,73.5,Castor
East Godavari,Kharif,Laterite,20.9,20.3,18.6,6.0,0.53,30.5,976.7,74.5,Paddy
Palnadu,Rabi,Coastal Sands,179.3,101.2,131.7,5.5,0.81,21.7,1002.1,54.8,Chillies
Guntur,Rabi,Coastal Sands,169.6,96.0,124.0,6.6,1.11,29.6,789.1,52.8,Tobacco
Visakhapatnam,Kharif,Alluvial,237.6,130.6,174.6,8.1,0.52,34.6,75.6,41.4,Cashew
Palnadu,Kharif,Red,79.7,48.9,63.4,7.6,0.43,28.6,782.1,65.2,Red Gram
Konaseema,Rabi,Alluvial,129.0,77.2,96.6,7.7,0.62,32.6,725.6,46.5,Sunflower
Konaseema,Zaid,Red,180.7,101.3,131.0,7.3,0.56,32.8,148.1,88.7,Chillies
Srikakulam,Zaid,Alluvial,29.4,23.2,27.4,8.1,0.43,23.0,1154.4,71.3,Maize
Kadapa,Zaid,Black,129.8,75.1,98.8,6.8,0.45,25.0,759.3,51.9,Sunflower
Srikakulam,Kharif,Laterite,90.1,55.2,68.2,6.6,0.93,20.3,522.8,87.3,Green Gram
Sri Satya Sai,Rabi,Coastal Sands,219.6,120.4,161.6,6.2,1.13,34.3,395.4,77.1,Papaya
Prakasam,Kharif,Black,198.6,108.9,146.5,6.8,1.0,20.8,1053.5,45.9,Banana
Kurnool,Rabi,Alluvial,109.1,66.4,82.0,5.5,0.5,33.6,986.6,83.1,Groundnut
Tirupati,Zaid,Alluvial,120.5,68.6,91.5,8.3,0.9,27.9,965.0,49.6,Sesame
West Godavari,Zaid,Alluvial,109.9,65.3,84.2,7.0,0.67,21.5,446.0,72.0,Groundnut
Anakapalli,Kharif,Laterite,141.3,81.1,105.1,7.5,1.01,26.6,102.7,87.1,Castor
Kurnool,Rabi,Alluvial,110.3,66.0,83.4,5.6,0.77,21.8,907.1,83.9,Groundnut
Alluri Sitharama Raju,Kharif,Coastal Sands,119.5,70.9,88.7,6.5,0.98,27.0,81.1,87.4,Sesame
Prakasam,Rabi,Coastal Sands,30.1,23.1,26.2,8.2,0.39,31.7,126.5,40.5,Maize
Srikakulam,Kharif,Alluvial,108.6,67.1,83.7,8.3,0.35,30.7,795.0,75.9,Groundnut
Vizianagaram,Zaid,Black,228.8,126.2,166.4,6.4,0.75,30.1,717.9,40.2,Oil Palm
Alluri Sitharama Raju,Rabi,Black,70.0,44.7,54.6,6.5,0.95,33.9,958.8,51.6,Bengal Gram
Kadapa,Kharif,Red,120.2,70.2,89.6,8.2,0.31,31.3,674.8,84.6,Sesame
Kakinada,Kharif,Black,249.9,136.6,179.2,7.4,0.91,26.7,165.3,86.9,Coconut
Krishna,Zaid,Red,130.5,74.9,97.9,7.8,0.47,21.7,906.2,78.4,Sunflower
Srikakulam,Rabi,Alluvial,50.9,36.3,41.5,6.9,0.99,34.8,737.4,68.4,Pearl Millet
Annamayya,Kharif,Black,191.5,107.3,139.4,6.2,1.03,34.4,325.1,72.5,Turmeric
Kurnool,Rabi,Black,201.0,109.5,147.0,7.0,1.09,31.2,341.8,65.4,Banana
Tirupati,Rabi,Alluvial,58.7,39.1,49.8,6.8,0.7,22.8,433.1,49.9,Finger Millet
East Godavari,Zaid,Alluvial,150.9,84.3,111.7,8.3,0.31,33.1,642.0,63.0,Cotton
Krishna,Zaid,Red,149.5,83.9,111.9,6.4,1.07,27.5,379.5,61.3,Cotton
Palnadu,Zaid,Laterite,71.1,43.4,54.2,6.9,0.6,31.7,173.8,87.9,Bengal Gram
Kurnool,Rabi,Red,70.2,43.7,54.5,7.8,0.93,27.8,312.5,66.2,Bengal Gram
Anantapur,Kharif,Red,112.1,64.8,82.2,8.3,1.13,31.9,974.3,49.7,Groundnut
Konaseema,Zaid,Black,89.5,52.8,70.4,7.0,0.73,26.1,1110.3,48.4,Green Gram
NTR,Kharif,Coastal Sands,89.0,54.9,69.4,8.1,1.17,30.6,891.7,72.5,Green Gram
Eluru,Zaid,Alluvial,211.9,113.5,155.3,5.8,0.98,28.8,609.7,67.4,Mango
Palnadu,Rabi,Alluvial,199.4,109.6,145.4,7.6,0.35,22.2,209.1,75.6,Banana
Alluri Sitharama Raju,Zaid,Black,250.1,135.4,179.6,6.8,0.85,29.3,956.3,59.5,Coconut
Anakapalli,Rabi,Black,218.9,119.8,158.7,6.3,0.81,33.5,541.0,72.8,Papaya
Kakinada,Kharif,Red,19.5,19.4,20.1,5.8,0.73,23.4,109.8,51.8,Paddy
Konaseema,Zaid,Coastal Sands,69.6,45.4,55.9,5.5,0.78,28.2,837.4,83.5,Bengal Gram
Konaseema,Zaid,Alluvial,89.8,54.1,68.5,6.9,0.53,24.9,715.5,62.3,Green Gram
Krishna,Rabi,Coastal Sands,259.5,140.2,189.7,8.4,0.51,25.9,1085.8,52.9,Vegetables
Parvathipuram Manyam,Kharif,Red,129.9,75.0,97.6,7.4,0.79,28.1,914.0,84.4,Sunflower
Tirupati,Zaid,Red,239.2,130.4,173.5,7.3,0.83,29.1,517.9,45.6,Cashew
Parvathipuram Manyam,Zaid,Alluvial,160.1,90.0,118.8,8.2,0.95,24.8,581.2,77.2,Sugarcane
Palnadu,Zaid,Red,80.1,49.0,61.1,6.9,1.16,32.5,363.2,52.8,Red Gram
Srikakulam,Kharif,Alluvial,70.3,45.6,55.1,7.5,0.72,25.3,507.5,76.3,Bengal Gram
Bapatla,Rabi,Red,179.9,101.2,132.4,6.4,0.47,22.2,222.5,68.4,Chillies
Prakasam,Zaid,Alluvial,260.9,140.1,187.7,7.5,0.6,29.6,488.1,57.7,Vegetables
East Godavari,Rabi,Laterite,38.7,29.0,33.5,5.7,0.85,32.3,516.3,80.9,Sorghum
Alluri Sitharama Raju,Kharif,Alluvial,111.9,65.6,80.9,7.1,0.43,22.9,687.9,61.5,Groundnut
Chittoor,Rabi,Alluvial,80.5,49.8,61.9,7.1,0.96,33.3,135.4,42.6,Red Gram
Nellore,Zaid,Black,251.2,134.9,180.7,5.8,0.95,34.0,650.6,44.0,Coconut
Krishna,Rabi,Laterite,100.2,60.1,75.0,7.8,0.81,32.4,1028.4,46.3,Black Gram
Parvathipuram Manyam,Zaid,Red,98.9,58.5,75.7,7.7,0.6,29.7,1004.9,62.5,Black Gram
Krishna,Zaid,Alluvial,228.8,125.8,166.7,8.0,0.41,25.6,283.1,67.5,Oil Palm
Annamayya,Kharif,Black,148.6,82.8,111.0,6.0,0.93,27.6,392.9,74.1,Cotton
Visakhapatnam,Kharif,Coastal Sands,201.0,111.5,147.7,5.6,1.13,30.1,750.2,61.3,Banana
Kakinada,Kharif,Red,190.4,104.9,140.4,6.4,0.49,25.9,813.3,84.1,Turmeric
Vizianagaram,Zaid,Black,110.1,65.6,82.1,8.0,0.41,31.2,1078.0,76.1,Groundnut
Nandyal,Zaid,Black,69.7,45.6,54.8,7.6,1.08,21.2,997.4,77.7,Bengal Gram
Alluri Sitharama Raju,Rabi,Laterite,99.1,58.6,75.7,5.6,0.66,21.1,758.2,45.5,Black Gram
Kurnool,Kharif,Coastal Sands,160.0,90.2,117.9,7.0,1.0,24.2,67.5,50.9,Sugarcane
Bapatla,Kharif,Coastal Sands,179.4,99.9,131.9,6.4,0.38,23.6,316.9,77.7,Chillies
Visakhapatnam,Kharif,Black,81.1,50.7,63.6,5.5,0.66,28.6,162.2,82.0,Red Gram
Kurnool,Zaid,Black,90.0,54.7,67.5,6.7,0.65,30.2,642.5,70.7,Green Gram
Tirupati,Kharif,Alluvial,231.5,126.0,167.1,6.1,1.17,34.2,886.9,57.9,Oil Palm
Krishna,Kharif,Coastal Sands,80.8,49.4,61.3,5.8,1.11,26.7,279.6,84.7,Red Gram
Nellore,Zaid,Alluvial,82.5,50.5,61.4,6.9,0.89,22.3,700.3,71.8,Red Gram
Alluri Sitharama Raju,Kharif,Coastal Sands,181.3,98.5,132.5,8.4,0.64,27.8,1040.1,86.5,Chillies
Kakinada,Rabi,Black,40.9,28.8,35.0,8.3,1.1,22.3,612.1,41.3,Sorghum
Nandyal,Rabi,Red,220.9,121.8,159.3,6.7,0.63,31.3,1074.4,85.4,Papaya
East Godavari,Zaid,Coastal Sands,261.8,142.0,188.4,7.4,0.71,23.4,469.8,57.6,Vegetables
Annamayya,Zaid,Alluvial,121.3,69.3,90.2,8.2,1.05,32.6,603.0,43.1,Sesame
Bapatla,Kharif,Black,221.7,121.4,161.4,5.6,1.05,20.6,815.4,73.2,Papaya
Tirupati,Rabi,Red,202.1,109.2,146.6,6.7,1.06,31.7,580.7,41.5,Banana
Guntur,Rabi,Alluvial,190.7,105.4,137.3,5.5,0.63,28.3,258.6,89.9,Turmeric
Kakinada,Kharif,Red,18.4,19.5,19.9,7.0,0.3,30.2,454.5,42.4,Paddy
Anakapalli,Rabi,Black,140.5,80.0,103.7,6.4,0.98,29.5,989.4,67.7,Castor
Guntur,Kharif,Red,129.9,74.6,96.3,8.1,0.75,29.5,600.2,42.3,Sunflower
Annamayya,Rabi,Black,130.6,74.7,98.1,6.1,0.72,34.5,239.7,51.1,Sunflower
Bapatla,Zaid,Coastal Sands,69.2,46.6,54.8,6.9,0.48,32.1,980.8,82.7,Bengal Gram
West Godavari,Zaid,Laterite,90.1,57.1,70.4,8.0,0.81,26.6,231.8,55.8,Green Gram
Anakapalli,Zaid,Laterite,209.1,114.8,153.0,6.2,0.92,34.4,420.4,71.0,Mango
Kakinada,Rabi,Black,161.0,89.8,118.9,7.5,0.74,27.9,203.9,53.0,Sugarcane
Annamayya,Rabi,Alluvial,81.3,49.9,61.8,8.0,1.16,28.5,199.6,55.6,Red Gram
Anantapur,Rabi,Black,262.6,139.8,189.0,8.4,0.44,21.1,423.7,47.3,Vegetables
Anakapalli,Zaid,Red,91.1,54.4,68.8,6.2,1.16,27.8,410.3,55.2,Green Gram
Nellore,Kharif,Alluvial,91.7,55.3,69.3,8.0,0.86,30.2,384.6,60.6,Green Gram
Nellore,Zaid,Coastal Sands,39.3,31.5,33.6,8.3,0.66,20.0,665.0,87.9,Sorghum
Srikakulam,Zaid,Laterite,239.8,129.4,173.9,6.5,1.14,22.4,942.6,80.8,Cashew
Chittoor,Zaid,Coastal Sands,19.0,19.4,18.9,5.8,0.4,26.4,911.2,44.3,Paddy
Annamayya,Rabi,Coastal Sands,219.9,121.6,159.4,6.0,0.65,27.4,458.4,87.8,Papaya
East Godavari,Zaid,Red,78.5,49.6,62.8,6.9,0.78,33.5,744.3,54.9,Red Gram
Annamayya,Rabi,Red,159.5,90.9,117.9,7.9,0.31,28.7,619.6,54.2,Sugarcane
Konaseema,Kharif,Red,240.0,131.0,175.3,7.2,0.61,22.8,840.3,85.7,Cashew
Prakasam,Rabi,Alluvial,111.6,64.9,82.1,6.7,0.72,26.0,190.8,55.8,Groundnut
Nellore,Zaid,Alluvial,101.6,59.1,76.8,8.2,0.99,27.2,645.8,41.1,Black Gram
Anantapur,Kharif,Red,101.6,58.8,76.0,8.2,0.69,24.4,800.2,44.9,Black Gram
Nandyal,Kharif,Black,181.0,100.1,132.1,7.2,0.97,29.9,722.6,70.1,Chillies
Chittoor,Kharif,Red,149.3,83.8,110.9,7.6,1.04,33.4,174.2,50.4,Cotton
Kurnool,Rabi,Laterite,49.2,34.3,39.5,6.7,0.75,31.2,881.7,83.9,Pearl Millet
Visakhapatnam,Kharif,Coastal Sands,171.3,95.4,125.4,5.8,0.84,25.4,202.1,67.2,Tobacco
Palnadu,Kharif,Alluvial,89.6,53.6,69.3,7.8,0.97,25.1,893.6,50.6,Green Gram
Eluru,Zaid,Laterite,179.3,101.6,131.7,6.4,0.38,34.3,536.9,54.1,Chillies
Kakinada,Kharif,Coastal Sands,149.8,84.6,108.8,6.5,0.63,30.1,412.8,84.9,Cotton
Anantapur,Zaid,Laterite,151.1,80.9,110.4,6.2,0.49,29.3,1144.6,48.3,Cotton
Sri Satya Sai,Zaid,Red,150.2,84.2,110.7,6.2,0.88,29.6,1020.5,57.5,Cotton
Kurnool,Zaid,Laterite,41.2,30.4,34.2,8.1,0.5,28.8,96.4,61.0,Sorghum
Visakhapatnam,Zaid,Red,40.5,29.4,34.2,6.3,0.68,31.5,789.8,83.4,Sorghum
West Godavari,Kharif,Laterite,21.0,19.3,20.4,7.1,1.12,29.0,178.3,65.8,Paddy
Nellore,Kharif,Laterite,190.1,105.7,139.4,7.7,0.34,32.2,353.9,68.0,Turmeric
Anakapalli,Zaid,Alluvial,39.7,29.7,34.5,7.1,1.17,33.4,575.2,51.7,Sorghum
Tirupati,Kharif,Alluvial,179.6,98.3,132.2,6.7,0.86,20.9,555.7,80.7,Chillies
Nandyal,Rabi,Black,210.4,114.9,154.6,7.4,0.91,34.6,1177.4,42.3,Mango
Nellore,Rabi,Laterite,258.5,139.0,187.4,7.3,0.95,33.9,536.8,54.8,Vegetables
Krishna,Kharif,Black,120.5,69.3,91.0,6.2,0.33,31.4,1008.2,42.8,Sesame
Srikakulam,Kharif,Black,170.7,94.9,124.9,6.4,1.18,26.7,1175.3,62.0,Tobacco
Alluri Sitharama Raju,Kharif,Alluvial,229.3,125.8,166.6,6.7,0.4,20.4,424.0,53.3,Oil Palm
